;Cantidad de EAPs;Año del censo;Partido;Sexo
0;5280.0;2018;Provincia de Buenos Aires;Mujeres propietarias
1;70.0;2018;Adolfo Alsina;Mujeres propietarias
2;54.0;2018;Adolfo Gonzales Chaves;Mujeres propietarias
3;25.0;2018;Alberti;Mujeres propietarias
4;10.0;2018;Almirante Brown;Mujeres propietarias
5;19.0;2018;Arrecifes;Mujeres propietarias
6;2.0;2018;Avellaneda;Mujeres propietarias
7;151.0;2018;Ayacucho;Mujeres propietarias
8;103.0;2018;Azul;Mujeres propietarias
9;31.0;2018;Bahía Blanca;Mujeres propietarias
10;45.0;2018;Balcarce;Mujeres propietarias
11;17.0;2018;Baradero;Mujeres propietarias
12;76.0;2018;Benito Juárez;Mujeres propietarias
13;63.0;2018;Berazategui;Mujeres propietarias
14;7.0;2018;Berisso;Mujeres propietarias
15;147.0;2018;Bolívar;Mujeres propietarias
16;34.0;2018;Bragado;Mujeres propietarias
17;32.0;2018;Brandsen;Mujeres propietarias
18;19.0;2018;Campana;Mujeres propietarias
19;28.0;2018;Cañuelas;Mujeres propietarias
20;25.0;2018;Capitán Sarmiento;Mujeres propietarias
21;37.0;2018;Carlos Casares;Mujeres propietarias
22;67.0;2018;Carlos Tejedor;Mujeres propietarias
23;10.0;2018;Carmen de Areco;Mujeres propietarias
24;18.0;2018;Castelli;Mujeres propietarias
25;45.0;2018;Chacabuco;Mujeres propietarias
26;93.0;2018;Chascomús;Mujeres propietarias
27;39.0;2018;Chivilcoy;Mujeres propietarias
28;26.0;2018;Colón;Mujeres propietarias
29;11.0;2018;Coronel de Marina Leonardo Rosales;Mujeres propietarias
30;29.0;2018;Coronel Dorrego;Mujeres propietarias
31;63.0;2018;Coronel Pringles;Mujeres propietarias
32;94.0;2018;Coronel Suárez;Mujeres propietarias
33;39.0;2018;Daireaux;Mujeres propietarias
34;32.0;2018;Dolores;Mujeres propietarias
35;2.0;2018;Ensenada;Mujeres propietarias
36;1.0;2018;Escobar;Mujeres propietarias
37;1.0;2018;Esteban Echeverría;Mujeres propietarias
38;19.0;2018;Exaltación de la Cruz;Mujeres propietarias
39;0.0;2018;Ezeiza;Mujeres propietarias
40;115.0;2018;Florencio Varela;Mujeres propietarias
41;16.0;2018;Florentino Ameghino;Mujeres propietarias
42;10.0;2018;General Alvarado;Mujeres propietarias
43;43.0;2018;General Alvear;Mujeres propietarias
44;28.0;2018;General Arenales;Mujeres propietarias
45;27.0;2018;General Belgrano;Mujeres propietarias
46;80.0;2018;General Guido;Mujeres propietarias
47;57.0;2018;General Juan Madariaga;Mujeres propietarias
48;62.0;2018;General La Madrid;Mujeres propietarias
49;25.0;2018;General Las Heras;Mujeres propietarias
50;37.0;2018;General Lavalle;Mujeres propietarias
51;44.0;2018;General Paz;Mujeres propietarias
52;22.0;2018;General Pinto;Mujeres propietarias
53;26.0;2018;General Pueyrredón;Mujeres propietarias
54;10.0;2018;General Rodríguez;Mujeres propietarias
55;0.0;2018;General San Martín;Mujeres propietarias
56;25.0;2018;General Viamonte;Mujeres propietarias
57;64.0;2018;General Villegas;Mujeres propietarias
58;54.0;2018;Guaminí;Mujeres propietarias
59;17.0;2018;Hipólito Yrigoyen;Mujeres propietarias
60;0.0;2018;Hurlingham;Mujeres propietarias
61;0.0;2018;Ituzaingó;Mujeres propietarias
62;0.0;2018;José C, Paz;Mujeres propietarias
63;59.0;2018;Junín;Mujeres propietarias
64;1.0;2018;La Costa;Mujeres propietarias
65;0.0;2018;La Matanza;Mujeres propietarias
66;0.0;2018;Lanús;Mujeres propietarias
67;518.0;2018;La Plata;Mujeres propietarias
68;49.0;2018;Laprida;Mujeres propietarias
69;71.0;2018;Las Flores;Mujeres propietarias
70;36.0;2018;Leandro N, Alem;Mujeres propietarias
71;36.0;2018;Lezama;Mujeres propietarias
72;116.0;2018;Lincoln;Mujeres propietarias
73;36.0;2018;Lobería;Mujeres propietarias
74;46.0;2018;Lobos;Mujeres propietarias
75;0.0;2018;Lomas de Zamora;Mujeres propietarias
76;19.0;2018;Luján;Mujeres propietarias
77;55.0;2018;Magdalena;Mujeres propietarias
78;55.0;2018;Maipú;Mujeres propietarias
